Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Gender,Race,Residence,Hospital Treated,Admission,Number of Discharges,History of Health
2025,268,18-29,Bachelor,Female,,25000-50000,false,false,false,false,true,,hos,fairness first,Somewhat Fair,Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Neutral,Somewhat Fair
2026,1530,18-29,High School,Male,,>100000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Very Fair,Fair,Somewhat Fair,Somewhat Fair
2027,2437,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Very Fair,Very Unfair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Very Fair
2028,331,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Neutral,Somewhat Unfair,Somewhat Unfair,Unfair,Neutral,Somewhat Fair,Neutral,Somewhat Fair
2029,825,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair,Very Fair
2030,541,70 up,High School,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Very Fair,Fair,Somewhat Fair,Fair,Fair,Very Fair
2031,1778,30-39,High School,Male,,50000-75000,false,false,false,false,true,,hos,properties first,Unfair,Unfair,Very Unfair,Somewhat Fair,Fair,Somewhat Fair,Fair,Very Fair
2032,1890,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Fair
2033,1209,50-59,High School,Female,,<25000,false,false,false,true,false,,hos,properties first,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair
2034,2986,18-29,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral
2035,1758,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Unfair,Very Unfair,Unfair,Unfair,Fair,Neutral,Fair
2036,2272,30-39,Associate or Diploma,Male,,50000-75000,false,false,true,true,false,,hos,fairness first,Somewhat Fair,Neutral,Somewhat Unfair,Neutral,Somewhat Unfair,Neutral,Somewhat Fair,Somewhat Fair
2037,599,30-39,Associate or Diploma,Male,,50000-75000,true,false,true,true,false,,hos,properties first,Unfair,Very Unfair,Very Unfair,Very Unfair,Very Fair,Neutral,Neutral,Very Fair
2038,1062,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Fair,Unfair,Neutral,Very Fair,Fair,Very Fair,Very Fair
2039,529,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair
2040,865,18-29,High School,Male,,<25000,false,false,false,true,false,,hos,properties first,Neutral,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Unfair,Very Fair
2041,538,30-39,High School,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Unfair,Fair,Fair,Fair,Fair,Neutral,Fair
2042,2130,40-49,High School,Female,,<25000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
2043,1083,50-59,Associate or Diploma,Male,,<25000,false,false,false,true,false,,hos,fairness first,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair
2044,2240,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Fair,Somewhat Fair,Neutral,Very Fair
2045,1910,30-39,Associate or Diploma,Female,,50000-75000,false,false,true,false,false,,hos,fairness first,Fair,Neutral,Unfair,Unfair,Unfair,Unfair,Unfair,Very Fair
2046,676,30-39,Bachelor,Male,,>100000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair,Fair,Neutral,Very Unfair
2047,282,18-29,Bachelor,Male,,25000-50000,false,false,false,false,false,White,hos,properties first,Neutral,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Unfair,Somewhat Fair,Neutral,Somewhat Fair
2048,2897,18-29,Bachelor,Female,,<25000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Fair,Somewhat Unfair,Neutral,Fair,Fair,Very Fair,Very Fair
2049,934,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Fair,Fair,,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair
2050,377,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Neutral,Fair
2051,872,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Unfair,Unfair,Unfair,Unfair,Neutral,Somewhat Fair,Somewhat Fair,Fair
2052,897,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Very Fair,Very Fair,Very Fair
2053,1926,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,properties first,Fair,Somewhat Unfair,Very Unfair,Very Unfair,Very Unfair,Neutral,Somewhat Fair,Fair
2054,2874,50-59,High School,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Very Unfair,Unfair,Neutral,Unfair,Neutral,Somewhat Unfair,Somewhat Unfair
1360,1098,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Unfair,Neutral,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair,Unfair,Very Fair
1361,1108,18-29,Bachelor,Female,,<25000,false,false,false,false,true,,hos,properties first,Fair,Unfair,Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Neutral,Very Fair
1362,1123,18-29,Bachelor,Male,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Unfair,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Fair
1363,2876,30-39,Graduate,Male,,>100000,false,false,true,true,false,,hos,fairness first,Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Fair,Very Fair,Fair,Very Fair
1364,2617,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,hos,fairness first,Somewhat Unfair,Unfair,Very Unfair,Somewhat Unfair,Very Unfair,Fair,Fair,Somewhat Fair
1365,1517,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Fair,Very Fair,Fair,Very Fair
1366,850,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Fair,Fair
1367,762,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Unfair,Neutral,Very Unfair,Very Unfair,Unfair,Unfair,Very Unfair,Very Unfair
1368,1982,30-39,Bachelor,Female,,25000-50000,false,false,false,false,false,NATIVE AMERICAN,hos,properties first,Unfair,Somewhat Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Fair,Somewhat Fair,Neutral
1369,3306,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Very Unfair,Very Unfair
1370,1834,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1371,1027,40-49,Graduate,Male,,<25000,false,false,false,true,false,,hos,properties first,Very Fair,Fair,Somewhat Fair,Unfair,Fair,Very Fair,Fair,Very Fair
1372,2671,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Very Unfair,Unfair,Somewhat Unfair,Unfair,Neutral,Unfair,Somewhat Fair
1373,1483,50-59,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Very Fair,Very Fair,Very Fair
1374,1022,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,hos,properties first,Fair,Neutral,Somewhat Unfair,Neutral,Neutral,Neutral,Somewhat Fair,Very Fair
1375,1747,18-29,Associate or Diploma,Male,,50000-75000,false,true,false,false,false,,hos,fairness first,Very Unfair,Very Unfair,Very Unfair,Unfair,Unfair,Fair,Very Unfair,Very Unfair
1376,1131,60-69,High School,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Very Unfair,Unfair,Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Fair
1377,1107,30-39,Bachelor,Female,,<25000,false,false,false,true,false,,hos,properties first,Unfair,Unfair,Unfair,Unfair,Neutral,Somewhat Fair,Fair,Fair
1378,832,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,hos,fairness first,Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Fair,Fair,Fair,Fair
1379,2915,60-69,High School,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Unfair,Unfair,Neutral,Somewhat Fair,,Neutral,Fair
1380,2104,30-39,Bachelor,Male,,25000-50000,false,false,true,false,false,,hos,fairness first,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Fair
1381,528,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Neutral,,Somewhat Fair,Neutral
1382,2117,50-59,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Somewhat Fair,Fair
1383,2420,30-39,Graduate,Male,,75000-100000,false,false,true,false,false,,hos,fairness first,Very Fair,Unfair,Unfair,Very Fair,Very Fair,Very Fair,Fair,Very Fair
1384,2459,30-39,Bachelor,Male,,>100000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Unfair
1385,697,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Very Fair,Fair,Fair,Very Fair,Somewhat Fair,,Fair,Very Fair
1386,1491,30-39,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Unfair,Unfair,Unfair,Somewhat Fair,Very Fair,Fair,Very Fair
1387,2494,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,hos,fairness first,Very Fair,Fair,Unfair,Unfair,Very Unfair,Unfair,Very Fair,Very Fair
1388,2158,18-29,Bachelor,Male,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Unfair,Very Unfair,Very Unfair,Neutral,Somewhat Fair,Fair,Very Fair
1389,567,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,hos,properties first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
1390,362,18-29,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Very Unfair
1391,2046,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Unfair,Unfair,Unfair,Unfair,Fair,Somewhat Fair,Unfair,Fair
1392,1924,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Somewhat Unfair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Very Fair,Somewhat Fair,Very Fair,Very Fair
1393,1244,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Very Unfair,Very Fair,Neutral,Very Fair,Very Unfair,Very Fair
1394,1694,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Unfair,Very Unfair,Very Unfair,Somewhat Unfair,Fair,Fair,Very Fair
1395,2224,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Neutral,Neutral,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1396,369,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Fair,Fair,Unfair,Neutral,Fair,Fair,Neutral,Neutral
1397,482,30-39,Associate or Diploma,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Unfair,Fair,Fair,Fair
1398,483,30-39,Graduate,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Fair,Very Fair,Fair,Very Fair,Fair,Fair
1399,692,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Somewhat Fair,Unfair,Somewhat Fair,Fair,Fair,Very Fair,Very Fair
1400,1007,30-39,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Fair,Neutral,Neutral,Neutral,Very Fair,Neutral,Very Fair
1401,367,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Unfair,Unfair,Neutral,Neutral,Somewhat Fair,Neutral,Somewhat Unfair
1402,2331,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Neutral,Neutral,Unfair,Somewhat Unfair,Fair,Very Fair,Somewhat Unfair,Very Fair
1403,2552,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Fair,Neutral,Neutral,Very Fair,Neutral,Somewhat Fair,Very Fair,Neutral
1404,1936,50-59,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Neutral,Neutral,Very Fair,Very Fair,Somewhat Fair,Fair,Very Fair,Very Fair
1405,2249,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Unfair,Unfair,Very Unfair,Unfair,Neutral,Fair,Somewhat Fair,Somewhat Fair
1406,757,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Unfair,Unfair,Neutral,Very Fair,Fair,Fair,Fair
1407,1900,18-29,Graduate,Male,,75000-100000,false,false,false,false,true,,hos,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
1408,2794,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Unfair,Very Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Very Fair,Somewhat Fair,Fair
1409,556,18-29,Bachelor,Female,,25000-50000,false,false,false,false,false,mixed race,hos,properties first,Somewhat Fair,Neutral,Somewhat Unfair,Fair,Fair,Fair,Neutral,Very Fair
1410,1253,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Unfair,Fair,Neutral,Neutral,Somewhat Fair,Neutral,Very Fair,Fair
1411,2666,40-49,Bachelor,Female,,25000-50000,false,true,false,true,false,,hos,properties first,Very Fair,Very Fair,Very Unfair,Very Unfair,Very Unfair,Very Fair,Very Fair,Very Fair
1412,1086,50-59,Graduate,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Fair,Very Fair,Fair,Very Fair,Fair,Fair,Very Fair,Somewhat Fair
1413,1272,18-29,Graduate,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Neutral,Somewhat Unfair,Fair,Fair,Unfair,Somewhat Unfair,Fair,Somewhat Fair
1414,279,50-59,Bachelor,Male,,<25000,false,false,true,false,false,,hos,properties first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Fair,Very Fair
1415,3094,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,hos,properties first,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1416,755,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Unfair
1417,2193,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,hos,properties first,Neutral,Neutral,Somewhat Fair,Neutral,Fair,Fair,Fair,Neutral
1418,1537,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Neutral,Very Unfair,Somewhat Fair,Neutral,Neutral,Very Unfair,Very Unfair
1419,475,18-29,High School,Male,,<25000,false,true,false,false,false,,hos,properties first,Fair,Fair,Very Unfair,Unfair,Very Fair,Very Fair,Very Fair,Very Fair
1420,1902,50-59,Associate or Diploma,Male,,<25000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Neutral,Somewhat Fair,Fair,Very Fair
1421,2147,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Neutral,Fair,Neutral,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Neutral
1422,1055,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Unfair,Very Unfair,Somewhat Fair,Somewhat Unfair,Very Fair,Very Fair,Very Fair
1423,613,50-59,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Fair,Somewhat Fair,Very Fair
1424,1974,18-29,Graduate,Male,,>100000,false,true,false,false,false,,hos,fairness first,Fair,Somewhat Unfair,Neutral,Very Unfair,Very Fair,Very Fair,Fair,Fair
1425,1056,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Unfair,Neutral,Somewhat Unfair,Fair,Very Fair,Very Fair,Fair
1426,1742,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,hos,properties first,Fair,Somewhat Unfair,Somewhat Unfair,Fair,Neutral,Somewhat Fair,Neutral,Somewhat Fair
1427,360,18-29,Bachelor,Male,,<25000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Fair,Very Fair
1428,1532,40-49,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Unfair,Very Unfair,Unfair,Fair,Fair,Fair,Very Fair
1429,867,30-39,Bachelor,Male,,>100000,false,false,false,true,false,,hos,properties first,Fair,Fair,Fair,Fair,Somewhat Fair,Very Fair,Fair,Very Fair
1430,2923,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Fair,Fair,Fair,Very Fair,Somewhat Fair,Fair,Fair
1431,1903,40-49,Bachelor,Male,,25000-50000,false,false,false,false,false,NATIVE AMERICAN,hos,fairness first,Neutral,Neutral,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Unfair,Unfair,Somewhat Fair
1432,730,18-29,Bachelor,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Fair
1433,575,40-49,Associate or Diploma,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Fair,Unfair,Very Unfair,Somewhat Fair,,Very Fair,Fair,Very Fair
1434,3385,18-29,Associate or Diploma,Male,,>100000,false,false,false,true,true,,hos,properties first,Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Unfair,Very Unfair,Somewhat Unfair
1435,906,70 up,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Fair,Fair,Somewhat Fair,Somewhat Fair,Fair,Very Fair,Fair,Very Fair
1436,974,30-39,High School,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Unfair,Very Unfair,Unfair,Unfair,Somewhat Unfair,Fair,Fair,Somewhat Fair
1437,1013,30-39,Less than high School,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Neutral,Neutral,Neutral,Somewhat Fair,Fair
1438,640,50-59,Bachelor,Female,,>100000,false,false,false,true,false,,hos,properties first,Very Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Very Fair,Very Fair
1439,2174,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,hos,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Neutral,Neutral
1440,487,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Fair,Somewhat Fair,Somewhat Fair,Very Fair,Somewhat Fair,Very Fair
1441,1629,18-29,Graduate,Male,,>100000,false,true,false,false,false,,hos,properties first,Fair,Somewhat Unfair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Very Fair
1442,677,30-39,High School,Female,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Very Fair,Very Unfair,Very Fair,Very Fair,Very Fair,Very Fair
1443,695,18-29,Bachelor,Female,,>100000,false,true,false,true,false,,hos,fairness first,Fair,Fair,Somewhat Fair,Somewhat Fair,Fair,Fair,Fair,Very Fair
1444,2193,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Fair,Neutral,Somewhat Unfair,Neutral,Somewhat Unfair
1445,409,18-29,Bachelor,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Very Fair,Fair,Somewhat Fair,Fair,,Very Fair,Fair
1446,602,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Fair,Fair,Fair,Fair,Fair,Very Fair
1447,1566,50-59,Associate or Diploma,Female,,75000-100000,false,true,false,false,false,,hos,fairness first,Very Fair,Somewhat Fair,Neutral,Very Fair,Neutral,Fair,Very Fair,Very Fair
1448,1017,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Fair,Fair,Very Fair,Fair,Fair,Very Fair
1449,827,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,hos,properties first,Very Fair,Neutral,Very Unfair,Somewhat Unfair,Somewhat Fair,Fair,Fair,Very Fair
1450,1830,18-29,High School,Male,,>100000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Very Unfair,Very Unfair,Somewhat Unfair,Neutral,Fair,Unfair,Fair
1451,1692,40-49,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Unfair,Unfair,Unfair,Somewhat Fair,Very Fair,Neutral,Fair
1452,866,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
1453,985,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Unfair,Very Unfair,Very Unfair,Fair,Very Fair,Somewhat Unfair,Very Fair
1454,654,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Neutral,Very Unfair,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair
1455,654,30-39,High School,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Fair,Somewhat Fair,Unfair,Unfair,Somewhat Fair,Fair,Somewhat Fair
1456,1156,30-39,Associate or Diploma,Male,,50000-75000,false,false,true,false,false,,hos,properties first,Fair,Unfair,Very Unfair,Very Unfair,Neutral,Fair,Somewhat Fair,Very Fair
1457,2588,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,hos,fairness first,Very Fair,Fair,Very Fair,Fair,Somewhat Unfair,Very Fair,Somewhat Unfair,Fair
1458,709,30-39,Graduate,Male,,>100000,false,false,false,true,false,,hos,fairness first,Fair,Very Unfair,Very Unfair,Somewhat Fair,Very Fair,Neutral,Very Fair,Very Fair
