Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History Reliability,Work History Relevance,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills Reliability,Skills Relevance,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability Reliability,Disability Relevance,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed Reliability,Time Unemployed Relevance,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason Reliability,Reason Relevance,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative Reliability,Initiative Relevance,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
676,927,70 up,High School,Male,,50000-75000,false,false,false,true,false,,unem,fairness first,Agree,Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
677,2228,30-39,High School,Male,,25000-50000,false,false,true,false,false,,unem,properties first,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree
678,933,70 up,Bachelor,Male,,25000-50000,false,false,false,true,false,,unem,properties first,Agree,Somewhat Agree,Strongly Disagree,Agree,,Somewhat Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Somewhat Agree,Neutral,Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree
679,1911,60-69,Associate or Diploma,Female,,<25000,false,false,true,false,false,,unem,properties first,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree
680,2294,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,unem,fairness first,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Agree
681,819,30-39,Graduate,Male,,<25000,false,false,false,true,false,,unem,fairness first,Agree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Neutral,Neutral
682,2816,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,,,,,,,,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Disagree
683,2569,30-39,High School,Male,,50000-75000,false,false,false,true,false,,unem,properties first,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,,Disagree,Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree
684,922,30-39,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,unem,properties first,Strongly Agree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree
685,2513,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,unem,fairness first,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,,Somewhat Agree,Agree
686,1042,70 up,High School,Female,,<25000,false,false,false,true,false,,unem,fairness first,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
687,993,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,unem,properties first,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
688,652,40-49,High School,Male,,75000-100000,false,false,false,true,false,,unem,properties first,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree
689,750,50-59,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,unem,properties first,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree
690,997,70 up,Graduate,Female,,>100000,false,false,false,true,false,,unem,fairness first,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree
691,1323,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,,Neutral,Neutral,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree
692,2158,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,unem,fairness first,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Neutral,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree
693,1821,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,unem,fairness first,Disagree,Somewhat Disagree,Neutral,,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,,Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Disagree,Disagree
694,3080,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Neutral,Neutral,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,,,,,,,,,Disagree,Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,,,,,,,,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral
695,2001,30-39,Bachelor,Female,,50000-75000,false,false,false,false,true,,unem,fairness first,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Strongly Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree
696,2241,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,unem,fairness first,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral
