Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
1480,963,30-39,High School,Male,,25000-50000,false,false,false,false,false,caucasian-indian,loan,properties first,Very Fair,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Very Fair,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Very Fair,Strongly Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Fair,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Fair,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree
1481,1177,18-29,Associate or Diploma,Female,,<25000,false,false,false,true,false,,loan,fairness first,Fair,Strongly Agree,Disagree,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Unfair,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Fair,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Unfair,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree
1482,1532,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,loan,properties first,Very Fair,Somewhat Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Very Fair,Agree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Very Unfair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Unfair,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Very Fair,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Very Fair,Agree,Somewhat Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Fair,Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Neutral
1483,1423,30-39,High School,Male,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Fair,Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,,Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Very Fair,Agree,Disagree,Somewhat Agree,Agree,Agree,Strongly Disagree,Strongly Disagree
1484,447,60-69,High School,Female,,<25000,false,false,false,true,false,,loan,fairness first,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Agree,Agree,Very Unfair,Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Somewhat Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Neutral,Agree,Agree,Unfair,Agree,Strongly Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree
1485,1935,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Very Fair,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Fair,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Very Fair,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Disagree,Fair,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Disagree,Disagree
1486,1499,50-59,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Fair,Strongly Agree,Disagree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Unfair,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Disagree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Disagree,Disagree,Agree,Disagree,Agree,Somewhat Agree,Disagree,Very Fair,Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree
1487,1129,40-49,High School,Male,,>100000,false,false,false,true,false,,loan,properties first,Very Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Fair,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Unfair,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Fair,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Fair,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree
1488,607,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,loan,properties first,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Strongly Agree,Neutral,Somewhat Agree,Neutral,Agree,Very Fair,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Disagree,,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Fair,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Fair,Somewhat Disagree,Somewhat Agree,Neutral,,Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree
1489,2047,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Unfair,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Fair,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Strongly Agree,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Agree,Unfair,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree
1490,1319,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,loan,properties first,Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Very Fair,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Fair,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
1491,2267,18-29,Graduate,Male,,50000-75000,false,true,false,false,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1492,2869,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Very Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree
1493,526,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,loan,properties first,Fair,Strongly Agree,Somewhat Agree,Neutral,Agree,,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Very Unfair,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Fair,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree
1494,956,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,loan,properties first,Somewhat Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Very Fair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Very Fair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree
1495,806,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Very Fair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Strongly Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral
1496,2245,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,loan,fairness first,Very Fair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Very Unfair,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Unfair,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Unfair,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Unfair,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Fair,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Fair,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree
1497,1875,18-29,Graduate,Male,,75000-100000,false,false,false,false,true,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Fair,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Fair,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Very Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree
1498,3200,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Very Fair,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree
1499,852,40-49,Graduate,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,,Strongly Disagree,Disagree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Neutral,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Unfair,Somewhat Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Somewhat Disagree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree
1500,1081,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,fairness first,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,,Neutral,Somewhat Agree,Agree,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree
1501,803,30-39,Bachelor,Male,,50000-75000,false,false,false,false,true,,loan,properties first,Somewhat Unfair,Neutral,,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Neutral,,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Very Unfair,Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Very Unfair,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Fair,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Very Unfair,Agree,,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Unfair,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral
