Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
982,430,30-39,High School,Male,,<25000,false,false,false,true,false,,ins,fairness first,Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree
983,617,40-49,High School,Female,,<25000,false,false,false,true,false,,ins,properties first,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Disagree
984,1039,18-29,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,ins,properties first,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Agree,Neutral,Strongly Agree,Agree
985,866,60-69,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
986,1341,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Agree
987,1151,30-39,High School,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
988,624,30-39,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree
989,691,50-59,High School,Female,,<25000,false,false,false,true,false,,ins,properties first,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree
990,620,18-29,High School,Male,,25000-50000,false,true,false,true,false,,ins,properties first,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Agree,Neutral,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
991,773,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,ins,fairness first,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Disagree,Disagree,Somewhat Agree,,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Disagree,Neutral,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree
992,1047,60-69,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,,Disagree,Somewhat Disagree,Strongly Agree,Agree,Neutral,Agree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Neutral,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Disagree
993,432,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Agree,Agree,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
994,651,50-59,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree
995,1527,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree
996,877,50-59,Graduate,Male,,>100000,false,false,false,true,false,,ins,properties first,Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Somewhat Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
997,776,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,ins,fairness first,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree
998,694,50-59,Associate or Diploma,Male,,>100000,false,false,false,true,false,,ins,properties first,Agree,Agree,Somewhat Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree
999,421,30-39,Bachelor,Male,,50000-75000,false,true,false,true,false,,ins,fairness first,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
2151,2433,18-29,Bachelor,Female,,<25000,false,false,false,true,false,,ins,fairness first,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree
2152,1754,40-49,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,properties first,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Neutral,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,,Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,,Neutral,Somewhat Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree
2153,1078,18-29,High School,Male,,25000-50000,false,false,false,false,true,,ins,fairness first,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Somewhat Disagree,Agree,Neutral,Agree,Agree,Somewhat Agree,Agree
2154,2065,18-29,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,ins,properties first,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree
2155,1144,30-39,Graduate,Male,,>100000,false,true,false,false,false,,ins,fairness first,Disagree,Neutral,Neutral,Strongly Agree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Somewhat Disagree
2156,1365,30-39,Bachelor,Male,,25000-50000,false,false,false,true,true,,ins,properties first,Agree,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Somewhat Agree
2157,458,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Somewhat Disagree,Neutral,Neutral,Disagree,Somewhat Disagree
2158,446,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,properties first,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Somewhat Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Somewhat Agree,Neutral
2159,1026,50-59,Bachelor,Male,,<25000,false,false,true,true,false,,ins,properties first,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Somewhat Agree,,Somewhat Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
