Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race Reliability,Race Relevance,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated Reliability,Hospital Treated Relevance,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission Reliability,Admission Relevance,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges Reliability,Number of Discharges Relevance,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
823,919,30-39,High School,Female,,<25000,false,false,false,true,false,,hos,fairness first,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
824,591,40-49,Bachelor,Male,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree
825,543,40-49,Graduate,Male,,>100000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree
826,314,30-39,Bachelor,Male,,>100000,false,false,false,true,false,,hos,properties first,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree
827,575,40-49,Bachelor,Male,,<25000,false,true,false,true,false,,hos,properties first,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree
828,446,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral
829,833,40-49,Graduate,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral
830,499,60-69,High School,Male,,<25000,false,false,false,true,false,,hos,properties first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
831,1470,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
832,505,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Agree,,Agree,,,,,,,,,Agree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree
833,2362,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Neutral,,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Agree
835,522,40-49,Graduate,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
836,477,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
837,1087,50-59,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,hos,fairness first,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,Strongly Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree
838,400,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Agree,Strongly Agree,Agree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree
839,1880,18-29,High School,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
840,803,50-59,Graduate,Male,,50000-75000,false,true,false,false,false,,hos,fairness first,Agree,Agree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Disagree,Disagree
841,3155,30-39,High School,Male,,25000-50000,false,false,false,false,true,,hos,properties first,Agree,Agree,Somewhat Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,,Neutral,Neutral
843,512,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,hos,fairness first,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
844,869,40-49,Graduate,Female,,<25000,false,true,false,false,false,,hos,properties first,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Strongly Agree,Somewhat Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree
845,609,40-49,Bachelor,Male,,50000-75000,false,false,true,false,false,,hos,properties first,Agree,Somewhat Agree,Agree,Disagree,Agree,Neutral,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Agree,Neutral,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Neutral,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree
846,706,40-49,Bachelor,Male,,50000-75000,false,false,true,false,false,,hos,fairness first,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Agree,Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
847,1214,60-69,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Somewhat Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,,,Somewhat Agree,Somewhat Agree
848,1827,30-39,Graduate,Female,,25000-50000,false,true,false,false,false,,hos,properties first,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
849,629,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree
850,702,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree
851,397,30-39,High School,Female,,<25000,false,false,false,true,false,,hos,fairness first,Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree
