Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
1620,300,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree
1622,1421,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Fair,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Somewhat Disagree,Disagree,Fair,Somewhat Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Fair,Agree,Disagree,Neutral,Somewhat Agree,Disagree,Neutral,Agree,Unfair,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Unfair,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Disagree,Agree,Somewhat Agree,Disagree,Neutral,Neutral,Very Fair,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Neutral
1631,2451,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Somewhat Disagree,Strongly Agree,,,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Strongly Agree,Agree,Neutral,,Neutral,Somewhat Fair,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Somewhat Unfair,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1632,1420,40-49,Associate or Diploma,Female,,>100000,false,false,false,true,false,,ins,fairness first,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Unfair,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1633,2338,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Very Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
1635,2527,60-69,Associate or Diploma,Female,,<25000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Very Unfair,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Unfair,Strongly Agree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Fair,Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Very Unfair,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree
1637,1200,60-69,Bachelor,Female,,25000-50000,false,false,false,false,true,,ins,properties first,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree
1639,776,18-29,Graduate,Female,,50000-75000,false,true,false,false,false,,ins,fairness first,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Agree,Strongly Agree,Very Unfair,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Fair,Agree,Disagree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Strongly Agree,Neutral,Neutral,Agree,Agree,Somewhat Disagree,Disagree,Neutral,Strongly Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree
1640,1486,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,properties first,Unfair,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Fair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Fair,Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Fair,Neutral,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Neutral
1642,675,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,fairness first,Very Unfair,Agree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Very Unfair,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Very Unfair,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Neutral,Very Unfair,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Very Unfair,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Very Unfair,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Very Unfair,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Very Unfair,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree
1647,481,30-39,Graduate,Female,,>100000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Very Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Neutral,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Disagree,Strongly Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree
1652,1468,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Fair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Unfair,Agree,Somewhat Disagree,Agree,Agree,,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Unfair,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Fair,Somewhat Disagree,Somewhat Disagree,,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral
