Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race,Race Reliability,Race Accuracy,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated,Hospital Treated Reliability,Hospital Treated Accuracy,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission,Admission Reliability,Admission Accuracy,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges,Number of Discharges Reliability,Number of Discharges Accuracy,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health,History of Health Reliability,History of Health Accuracy,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
2023,643,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Disagree,,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Unfair,,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Very Fair,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2024,811,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Fair,Agree,Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Unfair,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Strongly Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree
2025,268,18-29,Bachelor,Female,,25000-50000,false,false,false,false,true,,hos,fairness first,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
2028,331,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Unfair,Somewhat Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree
2033,1209,50-59,High School,Female,,<25000,false,false,false,true,false,,hos,properties first,Fair,Strongly Agree,,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Fair,Strongly Agree,,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Fair,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Strongly Agree,Disagree,,Disagree,Disagree,Disagree,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree
2034,2986,18-29,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Very Unfair,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Disagree,Neutral,,,,,,,,,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Disagree,Somewhat Disagree
2035,1758,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Disagree,Very Unfair,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Somewhat Agree,Unfair,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Unfair,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Fair,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Agree,Neutral,Disagree,Somewhat Agree,Disagree,Neutral,Fair,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Neutral,Disagree
2039,529,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree
2042,2130,40-49,High School,Female,,<25000,false,false,false,true,false,,hos,properties first,Very Fair,Agree,Agree,,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Very Fair,Agree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Very Fair,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Very Fair,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Very Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree
2044,2240,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree
2045,1910,30-39,Associate or Diploma,Female,,50000-75000,false,false,true,false,false,,hos,fairness first,Fair,Neutral,Somewhat Agree,Agree,Strongly Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Somewhat Agree,Unfair,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Agree,Agree,Agree,Unfair,Somewhat Agree,Disagree,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Unfair,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Unfair,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Very Fair,Neutral,Strongly Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree
2048,2897,18-29,Bachelor,Female,,<25000,false,false,false,true,false,,hos,properties first,Fair,Agree,Agree,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Somewhat Fair,Agree,Neutral,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Very Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree
2050,377,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,,Neutral,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,,Neutral,Somewhat Disagree,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Fair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree
2053,1926,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,properties first,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Neutral,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Very Unfair,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2054,2874,50-59,High School,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Neutral,Neutral,Disagree,Very Unfair,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Unfair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Unfair,Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral
