Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount Reliability,Loan Amount Relevance,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income Reliability,Income Relevance,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents Reliability,Dependents Relevance,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property Reliability,Property Relevance,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
884,402,50-59,High School,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree
885,581,30-39,Graduate,Male,,<25000,false,true,false,false,false,,loan,fairness first,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
886,1850,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Neutral,Strongly Disagree,Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Disagree
887,610,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,,Neutral,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,,,,,,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
888,802,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Strongly Disagree
889,2448,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,true,,loan,fairness first,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Neutral,Somewhat Disagree,,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,,,,,,,,,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
890,453,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Strongly Disagree,,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral
891,498,40-49,High School,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
892,3459,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Strongly Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Neutral,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree
893,493,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,,Neutral
894,481,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,loan,properties first,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree
895,736,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,fairness first,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Disagree,Disagree,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Disagree
896,2052,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
897,2832,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
898,1336,30-39,Graduate,Female,,<25000,false,true,false,false,false,,loan,properties first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral
899,482,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,loan,properties first,Neutral,Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,,Agree,Disagree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral
900,522,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Agree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Neutral,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,,Agree,Strongly Disagree,Disagree,Disagree,,Agree,Agree,Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree
901,677,30-39,High School,Female,,<25000,false,false,false,true,false,,loan,properties first,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Disagree
902,2997,30-39,High School,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Disagree,Neutral,Neutral
903,2430,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Neutral,Strongly Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,,,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree
904,791,50-59,Associate or Diploma,Female,,<25000,false,false,false,true,false,,loan,properties first,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,,,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
905,365,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree
